bad_prompts,improved_prompts,Mistral_prompts,gpt-4o-mini_prompts
Write a program that calculates the area of a triangle.," ""Implement a Python program that takes the lengths of the sides of a triangle as inputs and calculates its area using Heron's formula""","Enhanced prompt: Code a program to determine the area of any given triangle using a specific formula (e.g., base times height divided by 2). Please provide the solution in a programming language of your choice without including any examples of the response to the prompt. Keep the length of the prompt concise.","""Write a Python function to calculate the area of a triangle given its base and height."""
Build an app that tracks daily fitness activities," ""Design and develop a mobile app for iOS and Android that allows users to track and monitor their daily fitness activities,  including steps taken,  calories burned,  and distance covered.""","Develop an application to monitor and record daily physical exercise routines. This app should provide a user-friendly interface to log workouts, set fitness goals, and analyze progress over time.","Create a fitness tracking app that logs daily activities, sets goals, and provides user-friendly insights. Include features for progress tracking and social sharing."
Make a program that simulates a blackjack game.," ""Create a Java program that simulates a blackjack game,  incorporating features such as multiple players,  a deck of cards, and rules for betting and scoring.""","Programming task: Design a blackjack game simulator. Your solution should include the creation of a deck of cards, a function to deal cards, a function to determine the value of a hand, and a mechanism for implementing game rules such as hitting, standing, and determining the winner.","Create a Python program that simulates a blackjack game, allowing a player to play against a dealer. Include rules for hitting, standing, winning, and losing, and ensure the program handles user input and displays results clearly."
Write code to analyze a large dataset and extract insights.," ""Develop a data analysis script in Python that reads a CSV file containing a large dataset,  performs statistical analysis,  generates visualizations,  and extracts meaningful insights""","""Develop and implement a data analysis strategy on an extensive dataset, focusing on key insights extraction and interpretation.""","""Generate Python code to analyze a large CSV dataset and extract key insights such as trends, correlations, and summary statistics."""
Create a chatbot using natural language processing techniques," ""Build an AI-powered chatbot using Python,  TensorFlow,  and natural language processing techniques to understand and respond to user queries in a conversational manner""",Develop a conversational AI system utilizing advanced natural language processing methods.,Create an engaging chatbot that can answer users' questions in a friendly manner using natural language processing. Focus on understanding context and providing helpful responses.
Make a program that generates fractal images," ""Design and implement a C++ program that generates visually stunning fractal images using recursive algorithms,  allowing users to customize parameters such as colors and iterations.""","Craft a software application that produces intricate, self-repeating patterns known as fractal images.","Create a Python program that generates and visualizes fractal images, such as the Mandelbrot or Julia set, using libraries like Matplotlib and NumPy. Include code for user-defined parameters like zoom level and color palette."
Write code to encrypt and decrypt sensitive data.," ""Develop a secure encryption and decryption program in Java that utilizes industry-standard cryptographic algorithms,  ensuring the confidentiality and integrity of sensitive data.""","Enhance the prompt: Develop and implement a secure encryption and decryption mechanism for handling sensitive data, ensuring data confidentiality and integrity.",Create a Python script that demonstrates how to securely encrypt and decrypt sensitive data using a symmetric encryption algorithm. Include best practices for key management.
Create a web scraping tool to extract data from websites," ""Build a versatile web scraping application using Python and libraries such as BeautifulSoup and Selenium to extract structured data from various websites,  including handling dynamic content and pagination""",Enhance this prompt: Develop a robust web data extraction software capable of efficiently retrieving information from various websites.,"""Design a Python web scraping tool using Beautiful Soup and Requests to extract product information from e-commerce sites. Include handling for pagination and data storage in a CSV file."""
Make a program that predicts stock market trends.," ""Develop a machine learning model using Python,  scikit-learn,  and historical stock market data to predict future trends and fluctuations,  evaluating different algorithms and performance metrics.""",Enhance the prompt: Develop a program capable of forecasting stock market patterns. This program should utilize historical data and market indicators to establish trends and make predictions. It should also allow users to input specific stocks or markets for analysis.,"""Create a brief Python program that analyzes historical stock prices and uses a simple machine learning model to predict future trends."""
Write code to solve a complex mathematical optimization problem.," ""Implement an optimization solver in MATLAB that solves a complex mathematical problem involving linear programming,  constraints,  and objective functions, considering various optimization algorithms and sensitivity analysis.""",Tackle a sophisticated mathematical optimization challenge through coding.,Optimize the function \( f(x) = x^2 + 3x + 2 \) subject to the constraints \( x \geq 0 \). Provide Python code to find the optimal value of \( x \).
How to start programming?,Create a plan for my programming education and suggest sources where I can read about this topic.,Initiate Your Coding Journey: Essential First Steps,"""Can you provide a step-by-step guide for a complete beginner on how to start learning programming?"""
Choose me the best programming language,Provide me with directions in programming and the most in-demand programming languages that correspond to each direction.,"Select the most suitable programming language for your needs by considering factors such as project requirements, your expertise, and the language's popularity, efficiency, and community support.","""Which programming language is best for a beginner interested in web development?"""
What about writing functions in python?,"Provide me the structure of writing functions in python language, as well as an example of a function.",Refine prompt: Could you explain the concept and significance of defining functions in Python?,"""Can you explain how to write functions in Python with examples?"""
Help me with C++ libraries,Provide me the most popular C++ libraries and their purpose,"Enhanced Prompt: ""Please provide guidance on how to effectively use and navigate C++ libraries, including tips on installation, common pitfalls, and best practices.""","""Can you suggest popular C++ libraries for different tasks like networking, data processing, or graphics?"""
Explain me recursion in C++ language,"Give me the structure of writing and use cases for recursion in python, as well as give me a practical example of recursion.","Rewritten Prompt: Please provide a concise explanation of recursion using the C++ programming language. Include the concept of a base case and recursive case, but do not use examples.",Explain recursion in C++ with a clear example and its practical applications.
Describe debugging of C++ code,What are some techniques for handling errors and exceptions in c++ language?,"Enhance the following prompt: Explain the process of debugging C++ code, emphasizing techniques and tools commonly used.

Improved prompt: Detail the step-by-step procedure for debugging C++ code, highlighting essential techniques and popular tools employed in the process.","""Explain key strategies for debugging C++ code effectively."""
How to collaborate on coding projects?,What are some effective tools and strategies for team-based coding collaboration?,"Prompt: ""Best practices for effective collaboration on coding projects.""

This revised prompt encourages a comprehensive answer on the topic without needing to provide examples or significantly lengthen the prompt. It focuses on the key aspects of collaboration and coding projects, allowing for a more focused and helpful response.","""What's the best way to effectively collaborate on coding projects with a team?"""
How to create a responsive web design?,What are the key principles and techniques for developing responsive websites?,Upgrade prompt: What are the key principles and techniques for implementing a responsive web design?,"""Can you provide a step-by-step guide on creating a responsive web design using HTML and CSS?"""
Help me with PHP programming.,Provide guidance on PHP syntax and working with server-side scripting?,"""Seeking guidance on PHP programming techniques, best practices, and solutions to common challenges.""","""Can you help me with a specific PHP programming issue? I'm trying to [describe the problem or task briefly]."""
What are the best data visualization libraries?,Recommend powerful libraries for creating visually appealing data visualizations?,Which libraries are most recommended for effective data visualization?,"""Can you recommend and compare the top data visualization libraries for Python?"""
What are the best resources for learning Git?,Recommend reliable resources for learning version control with Git?,"Upgraded Prompt: Which platforms or tools are most effective for mastering Git, and why are they recommended? Please provide a concise list along with brief explanations.","""Can you recommend some top resources for learning Git, including tutorials, books, and online courses?"""
What about the implementation of Dijkstra's algorithm in python?,Implementation the Dijkstra's algorithm in the python programming language?,"Refine the prompt to: ""Explain the key steps and considerations for implementing Dijkstra's algorithm in Python.""","""Can you provide a clear and concise implementation of Dijkstra's algorithm in Python, along with a brief explanation of how it works?"""
I want to write a grpc sever and client in python,"Implement a simple proto file, and the command to execute it in python for server and client.","Sure, here's a more specific and detailed version of your prompt:

""I aim to develop a gRPC server and client application in Python. I need guidance on the steps and best practices for setting up the project, defining the service and messages in the .proto file, generating the Python code, implementing the server, and finally, creating the client to communicate with the server. I would appreciate advice on error handling, testing, and deploying the gRPC application.""","Prompt: ""Can you provide a simple example of a gRPC server and client implementation in Python?"""
How to install Python packages?,What is the recommended process for installing and managing Python packages?,"Upgrade Prompt: Detailed Steps for Installing Python Packages

To install Python packages, follow these steps closely:

1. Open Terminal (Mac/Linux) or Command Prompt (Windows).
2. Ensure Python and pip (the Python package installer) are installed on your system. You can check this by typing `python --version` and `pip --version` on the command line.
3. Navigate to the directory where you want to install the package using the `cd` command (e.g., `cd projects/my_project`).
4. Use the `pip install` command followed by the package name to install the desired package (e.g., `pip install numpy`).
5. Verify the installation by importing the package in a Python script or in the Python interpreter (e.g., `import numpy as np`).","""Can you provide a step-by-step guide to install Python packages using pip?"""
I want to write a bucket sort,Implement bucket sort algorithm in python.,"Title: Guidelines for Writing a Bucket Sort Algorithm

Objective: Write a bucket sort algorithm in your preferred programming language.

Steps:

1. Understand the Bucket Sort Algorithm: Bucket sort is a distribution sort algorithm that works by dividing the input into several buckets, and each bucket is sorted individually, either using a different sorting algorithm or by recursively applying the bucket sort algorithm.

2. Initialize an Empty List of Buckets: The number of buckets should be chosen based on the input data range and size.

3. Distribute Input Data into Buckets: Iterate over the input data and place each item into the appropriate bucket based on its value.

4. Sort Each Bucket: Each bucket can be sorted using a different sorting algorithm, such as insertion sort or quicksort, or by recursively applying the bucket sort algorithm.

5. Concatenate Buckets: Once all buckets are sorted, concatenate them to produce the final sorted list.

6. Handle Edge Cases: Consider edge cases such as empty input, input with all identical values, and input with a wide range of values.

7. Test Your Algorithm: Write test cases to ensure your implementation is correct and efficient.

8. Optimize Your Algorithm: Consider ways to optimize your implementation, such as choosing the optimal number of buckets for a given input size and range.","""Can you provide a Python implementation of the bucket sort algorithm, including an explanation of how it works?"""
"I want to sort the array in python how do I do it, I tried from scracth, it there any in built in python?",Implement an inbuilt python sorting algorithm.,"Improved Prompt:
How can I sort an array in Python using built-in functions, as I encountered difficulties when attempting to build a sorting function from scratch?","""How can I sort an array in Python using built-in methods? Please provide an example."""
"I want to interact with database in python namely postgres, how do I do it?",Write the code in python to connect to the postgres database server.,"Here's an improved prompt: ""What are the steps to connect and interact with a PostgreSQL database using Python?"" This prompt is concise and clearly communicates the specific task you want to accomplish, making it easier for others to provide a helpful response.","Best Prompt: ""Can you provide a step-by-step guide on how to connect and interact with a PostgreSQL database using Python?"""
How to write oops in python? Isnt python non oop language?,Write a simple example of oop in python,"Rewritten prompt: Is Python object-oriented? If so, how can one implement object-oriented programming (OOP) concepts in Python?","""Can you explain how object-oriented programming (OOP) is implemented in Python and provide examples?"""
"How to write  SQL query help, plz!!!",Write a few simple examples of sql queries to retrieve data,"""Requesting guidance on constructing SQL queries, thank you.""","""Can you help me write an SQL query to find all customers who made purchases in the last month?"""
Best lang to learn 4 web dev?,Which programming language is recommended for web development?,"""What is the most advantageous programming language to learn for web development?""","""Which programming languages are most valuable for web development and why?"""
How 2 handle file input/output in Python?,What are the methods and techniques for reading from and writing to files in Python?,"""What is the best way to manage file input/output operations in Python?""",How can I perform file input/output in Python? Please provide examples.
What are the best programming tools?,Can you recommend useful software and IDEs for different programming tasks?,Which essential tools are recommended for programming?,"""Can you recommend top programming tools for web development and explain why they are effective?"""
How to make a website?,What are the essential steps and technologies involved in creating a website?,"Streamline the process of creating a website:

1. Determine the website's purpose and target audience.
2. Choose a domain name and register it.
3. Select a web hosting provider.
4. Plan your website's layout and structure.
5. Design your website using a website builder or custom code.
6. Create engaging and relevant content.
7. Test your website for functionality and usability.
8. Optimize for search engines (SEO).
9. Launch and promote your website.
10. Regularly update and maintain your website.","""Can you provide a step-by-step guide to creating a basic website, including key tools and technologies to use?"""
How to become a coding expert quickly?,What are some effective strategies for accelerating learning and improving coding skills?,Accelerate Your Journey to Coding Proficiency: Tips and Strategies,"""What are effective strategies to rapidly improve coding skills and become proficient in programming?"""
I want to learn coding,What are some effective resources and learning strategies for beginner coders?,"""I aim to master programming and seek guidance on where to begin and how to progress effectively.""","""Can you recommend a structured learning path for coding, including resources and key concepts for a beginner?"""
